ES_ID,Brand_Name,Model_Number,Additional_Model_Information,Type,Product_Class,Defrost_Type,Compact,Built-in,Height_Inches,Width_Inches,Capacity_Volume,Adjusted_Volume,Estimated_Annual_Energy_Use,US_Federal_Standard_Energy_Use,Date_Available,Date_Certified,Markets,CB_Model_Identifier,
2229666,Absocold,ARD1033F*14R/L,,Top Freezer,3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,Automatic,No,No,59,24,10.3,12.1,297,331,12/8/2014,12/4/2014,United States,ES_0092255_ARD1033F*14R/L_12042014111045_70017616,Yes
2221127,Absocold,ARD104AB14R/L,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,20,15,1.1,1.1,242,269,9/30/2014,9/29/2014,United States,ES_0092255_ARD104AB14R/L_10022014111547_2767635,No
2221128,Absocold,ARD204AB14R/L,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,22,19,2,2,249,278,9/30/2014,9/29/2014,United States,ES_0092255_ARD204AB14R/L_10022014111547_2767635,No
2221129,Absocold,ARD204ABS14R/L,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,22,19,2,2,249,278,9/30/2014,9/29/2014,United States,ES_0092255_ ARD204ABS14R/L _10022014111547_2767635,No
2218001,Absocold,ARD244A*10R/L,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,25,18.6,2.3,2.3,223,280,8/25/2014,8/27/2014,United States,ES_0092255_ ARD244A*10R/L _08272014021903_2752402,No
2218005,Absocold,ARD298C*14R/L,,Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,33.3,18.6,3,3.6,319,357,8/1/2014,8/27/2014,United States,ES_0092255_ ARD298C*14R _08272014021903_2752402,No
2218013,Absocold,ARD369A*14R/L,,Compact,13A - Compact All-Refrigerators - automatic defrost,Automatic,Yes,No,33.3,18.6,3.6,3.6,262,292,8/18/2014,8/27/2014,United States,ES_0092255_ARD369A*14R/L_08272014021903_2752402,No
2218024,Absocold,ARD484F*10R/L,,Compact,13 - Compact refrigerator-freezers - automatic defrost with top-mounted freezer,Automatic,Yes,No,46,18.6,4.8,5.8,346,408,9/5/2014,8/27/2014,United States,ES_0092255_ARD484F*10R/L_08272014021903_2752402,No
2220334,Amana,AMA31**E,,Compact,12 - Compact Refrigerator-Freezer - partial automatic defrost,Automatic,Yes,No,32.7,18.8,3.1,3.8,320,358,9/25/2014,9/10/2014,"United States, Canada",ES_22856_AMA31**E_08292014121549_70010880,No
2206035,Amana,AMA43BKE,,Compact,11 - Compact Refrigerator and Refrigerator-Freezer other than All-Refrigerator - manual defrost,Manual,Yes,No,22,19.9,4.2,4.2,228,290,3/13/2014,3/7/2014,"United States, Canada",ES_1108549_AMA43BKE_03122014054518_2688030,No
