Brand_Name_s__s,Product_Class_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Cooling_Capacity__BTU_Hour__d,Electrical_Power_Input__Watts__d,Combined_Energy_Efficiency_Ratio_d,Energy_Efficiency_Ratio_d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
GE,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",AEW10AX1,AEW10AX,10200.0,900.0,11.2,11.3,No,No
TCL,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",TWAC-12CRA1/J9U,TWAC-12CRA1/J9U,12000.0,980.0,10.9,,No,No
TOSOT,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",TJC14BY-A3NRNE2C,TJC14BY-A3NRNE2C,14300.0,115.0,11.8,11.9,No,No
TOSOT,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",TJC06BK-A3NRNE2P,TJC06BK-A3NRNE2P,6050.0,115.0,12.1,12.3,No,No
TOSOT,"(1) Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",TJC05BK-A3NRNE2C,TJC05BK-A3NRNE2C,5200.0,115.0,12.1,12.4,No,No
Cool-living,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",TWAC-06CRA1/L1U(ES),CL-RAC06EWES,6000.0,492.0,12.1,,No,No
Cool-living,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",TWAC-10CRA1/L0U(ES),CL-RAC10EWES,10000.0,840.0,12.0,,No,No
Cool-living,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",TWAC-18CRA2/K8U(ES),CL-RAC18EWES (208V),17600.0,1490.0,11.8,,No,No
Cool-living,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",TWAC-24CRA2/J3U(ES),CL-RAC24EWES (230V),24000.0,2320.0,10.3,,No,No
Friedrich,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",SL24N30C,SL24N30C,24000.0,2308.0,10.3,,No,No
