Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__Cubic_Feet__d,Integrated_Modified_Energy_Factor__cubic_feet_per_kilowatt_hour_per_cycle__d,Integrated_Water_Factor__gallons_per_cycle_per_cubic_foot__d,Corrected_Remaining_Moisture_Content_____d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
LG,"Top-loading, compact (less than 1.6 ft3 capacity)",WD200C*+,WD200C*,1.0,1.15,12.0,47.6,No,No
LG,"Top-loading, compact (less than 1.6 ft3 capacity)",WD200C*+,WD100C*,1.0,1.15,12.0,47.6,No,No
LG,"Top-loading, compact (less than 1.6 ft3 capacity)",WD200C*+,WD205C*,1.0,1.15,12.0,47.6,No,No
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sCx50(3B),2036*81*,3.8,1.57,6.5,41.4,No,No
Inglis,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sMx50(3B),ITW4880H**,3.8,1.57,6.5,40.8,No,No
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17wAy50(3B),WTW4950H**,3.9,1.57,6.5,40.4,No,No
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17wAy50(3B),WTW4850H**,3.9,1.57,6.5,40.4,No,No
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sBx50(3B),MVWC465H**,3.8,1.57,6.5,39.9,No,No
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sAx50(3B),WTW4955H**,3.8,1.57,6.5,30.9,No,No
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V17sAx50(3B),WTW4855H**,3.8,1.57,6.5,30.9,No,No
