ES_ID,Brand_Name,Model_Name,Model_Number,Additional_Model_Information,UPC,Type,HeatPumpTech,Voltage,Drum_Capacity,Height,Width,Depth,Combined_Energy_Factor,Estimated_Annual_Energy_Use,Estimated_Energy_Test_Cycle_Time_minutes,Energy_Test_Cycle_Information,Additional_Dryer_Features,VentedORVentless,Connected,Connects_Using,V,W,CEF_Max_Dryness,Paired_Washer,Z,Market_Date,Date_Certified,Markets,CB_Model_Identifier,Meets_ENERGY_STAR_Most_Efficient_2017_Criteria
2301400,Asko,T208H.W.U,T208H.W.U,,588196,Electric,Heat Pump,240,3.9,332.67,234.25,251.97,4.5,189,60,"Auto, Normal","Drum light,Time remaining display,Wrinkle prevention option,Filter cleaning indicator",Vented,No,,,,3.65,Yes,ES_1123023_W2084.W.US_07122017080224_70145269,9/1/2017,7/20/2017,"United States, Canada",ES_1123023_T208H.W.U_08032017015947_70148998,No
2289056,Beko,HPD24400W,HPD24400W,,7188286040,Electric,Heat Pump,240,4.1,34,23.5,27,5.7,149,46,NORMAL REGULAR DRY,"Time remaining display,Drum light,Filter cleaning indicator",Ventless,No,,,,5.78,Yes,7188286040,10/1/2015,1/20/2017,"United States, Canada",ES_1036108_HPD24400W_01202017203338_4418005,Yes
2289057,Beko,HPD24412W,HPD24412W,,7188286010,Electric,Heat Pump,240,4.1,34,23.5,27,5.7,149,46,NORMAL REGULAR DRY,"Time remaining display,Drum light,Filter cleaning indicator",Ventless,No,,,,5.78,Yes,7188286010,10/1/2015,1/20/2017,"United States, Canada",ES_1036108_HPD24412W_01202017203310_4390623,Yes
2289054,Blomberg,DHP24400W,DHP24400W,,7188286030,Electric,Heat Pump,240,4.1,34,23.5,27,5.7,149,46,NORMAL REGULAR DRY,"Time remaining display,Drum light,Filter cleaning indicator",Ventless,No,,,,5.78,Yes,2236194,6/1/2015,1/20/2017,"United States, Canada",ES_1036108_DHP24400W_01202017210302_6182999,Yes
2289055,Blomberg,DHP24412W,DHP24412W,,7188286020,Electric,Heat Pump,240,4.1,34,23.5,27,5.7,149,46,NORMAL REGULAR DRY,"Time remaining display,Drum light,Filter cleaning indicator",Ventless,No,,,,5.78,Yes,2236191,6/1/2015,1/20/2017,"United States, Canada",ES_1036108_DHP24412W_01202017205610_5770588,Yes
2238756,Bosch,WTG86401UC,WTG86401UC,,8.25E+11,Electric,,240,4,34,24,25,2.73,311,30,Cotton Dry,Sanitization cycle,Ventless,No,,,,,Yes,"WAT28400UC,WAT28401UC,WAT28402UC",5/1/2015,3/12/2015,"United States, Canada",ES_31649_WTG86401UC_03122015101541_6055414,No
2242246,Bosch,WTG86402UC,WTG86402UC,,8.25E+11,Electric,,240,4,34,24,25,2.73,311,30,Cotton Dry,Sanitization cycle,Ventless,No,,,,,Yes,"WAT28400UC,WAT28401UC,WAT28402UC",6/16/2015,3/12/2015,"United States, Canada",ES_31649_WTG86402UC_06232015164027_9869806,No
2295158,Bosch,WTG865H2UC,WTG865H2UC,,8.25E+11,Electric,,240,4,34,23.6,25,2.73,311,30,"Cotton Dry, Dryness level set to ""dry""","Drum light,Wrinkle prevention option,Sanitization cycle",Ventless,Yes,Wi-Fi,Other,,,Yes,WAW285H2UC,3/28/2017,5/1/2017,"United States, Canada",ES_31649_WTG865H2UC_03282017085852_7577173,No
2292846,Crosley,CED7464G**,CED7464G**,,8.83E+11,Electric,,,7.4,34,24,25,3.93,608,76,"NORMAL CYCLE, MEDIUM HEAT, NORMAL DRYNESS LEVEL, ECO","Time remaining display,Wrinkle prevention option,Other",Vented,No,,,,,Yes,ES_92264_CFWH4084G**_01282017165803_2683820,3/13/2017,1/27/2017,United States,ES_22856_CED7464G**_03232017015519_4119093,No
2286359,Electrolux,EFDC317****,EFDC317****,,12505386992,Electric,,,8,38,0,31.25,3.93,608,50,"NORMAL
NORMAL TEMP 
NORMAL DRY 
ECO","Drum light,Time remaining display,Wrinkle prevention option,Steam cycle,Other,Energy monitor/indicator,Filter cleaning indicator,Sanitization cycle",Vented,No,,,,,Yes,EFLW317****,1/2/2017,12/16/2016,Canada,ES_1021080_EFDC317****_12162016171353_8433822,No
