ES_ID,Brand_Name,Model_Number,Additional_Model_Information,UPC,Load_Configuration,Additional_Washer_Features,Intended_Market,Volume_CubicFeet,Integrated_Modified_Energy_Factor,US_Federal_IMEF_Standard,Estimated_Annual_Energy_Use,Integrated_Water_Factor (IWF),US_Federal_IWF_Standard,Annual_Water_Use,Connected,Connects_Using,R,S,Paired_Dryer,U,Date_Available,Date_Certified,Markets,CB_Model_Identifier,Meets_ENERGY_STAR_Most_Efficient_2017_Criteria
2265249,Amana,NFW5800D*+,,8,Front Load,Delayed Start,Residential,4.2,2.75,1.84,109,3.2,4.7,3936,No,,,,No,,6/1/2016,4/25/2016,"United States, Canada",ES_22856_NFW5800D*+_04252016201435_5275579,No
2299726,Asko,W2084.W.U,,578206,Front Load,,Residential,2,2.11,1.84,150,4.1,4.7,2443,No,,,,No,,10/1/2017,6/29/2017,"United States, Canada",ES_1123023_W2084.W.US_07122017080224_70145269,No
2299728,Asko,W4114C.T.U,,578207,Front Load,,Residential,2.7,2.41,1.84,150,3.1,4.7,2478,No,,,,No,,10/1/2017,6/29/2017,"United States, Canada",ES_1123023_W4114C.T.US_07122017080224_70145269,No
2299727,Asko,W4114C.W.U,,578205,Front Load,,Residential,2.7,2.41,1.84,150,3.1,4.7,2478,No,,,,No,,10/1/2017,6/29/2017,"United States, Canada",ES_1123023_W4114C.W.US_07122017080224_70145269,No
2244469,Asko,W6424T,,461612,Front Load,,Residential,2,2.14,1.84,150,3.1,4.7,1847,No,,,,,,7/1/2015,6/22/2015,"United States, Canada",ES_1123023_W6424T_07022015021325_70037108,No
2244468,Asko,W6424W,,461611,Front Load,,Residential,2,2.14,1.84,150,3.1,4.7,1847,No,,,,,,7/1/2015,6/22/2015,"United States, Canada",ES_1123023_W6424W_07022015021325_70037108,No
2244471,Asko,W6884 ECO,,502153,Front Load,,Residential,2,2.14,1.84,150,3.1,4.7,1847,No,,,,,,7/1/2015,6/22/2015,"United States, Canada",ES_1123023_W6884 ECO_07022015021325_70037108,No
2244470,Asko,W6984,,461613,Front Load,,Residential,2,2.14,1.84,150,3.1,4.7,1847,No,,,,,,7/1/2015,6/22/2015,"United States, Canada",ES_1123023_W6984_07022015021325_70037108,No
2244467,Asko,W8844XL,,461615,Front Load,,Residential,2.7,2.41,1.84,150,3.1,4.7,2478,No,,,,No,,7/24/2015,7/23/2015,"United States, Canada",ES_1123023_W6424W_07262015025504_70041119,No
2236192,Beko,WMY 10148 C0,,8.69E+12,Front Load,,Residential,2.5,2.29,1.84,82,3.6,4.7,2676,No,,,No,Yes,DHP24412W and DHP24400W,4/1/2015,4/13/2015,"United States, Canada",ES_1036108_WMY 10148 C0_04082015143714_4800989,No
2236193,Beko,WMY 10148 W0,,8.69E+12,Front Load,,Residential,2.5,2.29,1.84,82,3.6,4.7,2676,No,,,No,Yes,DHP24412W and DHP24400W,4/1/2015,4/13/2015,"United States, Canada",ES_1036108_WMY 10148 W0_04102015161443_9456445,No
2236171,Beko,WTE 7604XLW0,,8.69E+12,Front Load,,Residential,2,2.09,1.84,67,3.5,4.7,2013,No,,,No,Yes,DV 17542,4/1/2015,4/10/2015,"United States, Canada",ES_1036108_WTE 7604XLW0_04082015142803_5956537,No
2236170,Blomberg,WM77120,,8.69E+12,Front Load,,Residential,2,2.09,1.84,67,3.5,4.7,2013,No,,,No,Yes,DV 17542,4/1/2015,4/10/2015,"United States, Canada",ES_1036108_WM77120_04082015142803_347253,No
2236194,Blomberg,WM 98200 SX,,8.69E+12,Front Load,,Residential,2.5,2.29,1.84,82,3.6,4.7,2676,No,,,No,Yes,DHP24412W and DHP24400W,4/1/2015,4/13/2015,"United States, Canada",ES_1036108_WM 98200 SX_04132015082955_2813836,No
2236191,Blomberg,WM 98400 SX,,8.69E+12,Front Load,,Residential,2.5,2.29,1.84,82,3.6,4.7,2676,No,,,No,Yes,DHP24412W and DHP24400W,4/1/2015,4/13/2015,"United States, Canada",ES_1036108_WM 98400 SX_04082015143714_2796899,No
2234997,Bosch,WAT28400UC,,8.25E+11,Front Load,Delayed Start,Residential,2.2,2.22,1.84,84,3.6,4.7,2294,No,,,No,Yes,"WTG86401UC,WTG86402UC",5/1/2015,3/20/2015,"United States, Canada",ES_31649_WAT28400UC_12192014125456_4933282,No
