ES_ID,Brand_Name,Model_Number,Additional_Model_Information,Type,Defrost_Type,Compact,Built-in,Capacity_Volume,Adjusted_Volume,Estimated_Annual_Energy_Use,US_Federal_Standard_Energy_Use,Date_Available,Date_Certified,Markets,CB_Model_Identifier
2296798,Agostino,AUF-1710W,",AUF-1710S,",Upright Freezer,Automatic,No,No,17,29.6,438,483,5/25/2017,5/26/2017,"United States, Canada",ES_1139679_AUF-1710W_05312017043559_5359719
2296799,Agostino,AUF-2110W,",AUF-2110S,",Upright Freezer,Automatic,No,No,21,37,492,547,5/25/2017,5/26/2017,"United States, Canada",ES_1139679_AUF-2110W_05312017043832_5512218
2222795,Amana,AZB33X18D*,,Upright Freezer,Automatic,No,No,17.7,31.2,447,497,11/10/2014,10/9/2014,"United States, Canada",ES_0022856_AZB33X18D*_10142014101026_2769601
2223895,Amana,AZB33X20D*,,Upright Freezer,Automatic,No,No,19.7,34.6,473,527,11/24/2014,10/29/2014,"United States, Canada",ES_0022856_AZB33X20D*_10292014105615_2774957
2300584,Arctic Fresh,AFW35AFFW,,Chest Freezer,Manual,Yes,No,3.5,6.2,172,194,7/14/2017,7/14/2017,United States,ES_1139819_AFW35AFFW_07262017114214_9334207
2301186,Arctic Fresh,AFW50AFFW,,Chest Freezer,Manual,Yes,No,5.1,9,196,220,7/14/2017,7/14/2017,United States,ES_1139819_AFW50AFFW_07262017115301_9981105
2300587,Arctic Fresh,AFW70AFFW,,Chest Freezer,Manual,Yes,No,7,12.3,224,251,7/14/2017,7/14/2017,United States,ES_1139819_AFW70AFFW_07262017114900_9740879
2291926,Arctic King,ACFM102ADW,",ACFM102ADOT,",Chest Freezer,Manual,No,No,10.2,18,214,239,3/15/2017,3/6/2017,"United States, Canada",ES_1030337_ACFM102ADW_03062017084054_9654106
2210429,Arctic King,AUFM021AEW,,Upright Freezer,Manual,Yes,No,2.1,3.7,219,258,4/25/2014,3/20/2014,United States,ES_1030337_AUFM021AEW_05052014233909_3149145
2294817,Arctic King,WHS-129C1W,,Chest Freezer,Manual,Yes,No,3.5,6.2,172,194,4/20/2017,4/24/2017,"United States, Canada",ES_1030337_WHS-129C1W_04242017040327_70130447
2255903,Arctic King,WHS-129C1WSB,"Freezer,WHS-129C1WSB,",Upright Freezer,Manual,Yes,No,3,5.3,240,272,1/1/2016,12/31/2015,"United States, Canada",ES_1030337_WHS-129C1WSB_12312015063455_3695718
2294818,Arctic King,WHS-185C1W,,Chest Freezer,Manual,Yes,No,5,8.8,196,218,4/20/2017,4/24/2017,"United States, Canada",ES_1030337_WHS-185C1W_04242017040327_70130447
2241998,AVANTGARDE,EVC137W,,Upright Freezer,Automatic,No,No,13.7,24.1,391,436,6/18/2015,6/18/2015,"United States, Canada",ES_1125680_EVC137W_06172015020000_70036683
2255167,Avanti,CF24Q0W,,Chest Freezer,Manual,Yes,No,2.5,4.4,137,178,1/15/2016,12/18/2015,United States,ES_92257_CF24Q0W_12082015163635_6507379
