ES_ID,Brand_Name,Model_Number,Additional_Model_Information,Cooling_Capacity_BTUperHour,Type,Reverse_Cycle,Casement_Window,Energy_Efficiency_Ratio,Combined_Energy_Efficiency_Ratio,Date_Available,Date_Certified,Markets,CB_Model_Identifier
2265982,Amana,AMAW061AW,,6000,Window,No,None,,12.1,3/5/2015,5/2/2016,United States,ES_1055302_AMAW061AW_05032016065341_8421889
2254738,Arctic King,AKSC08CR61,,8000,Window,No,Casement-slider,,11.4,12/1/2015,12/8/2015,"United States, Canada",ES_1030337_AKSC08CR61_12112015061839_4719346
2254740,Arctic King,AKTW08CR61,",AKTW08CR71E,",8000,Through the Wall,No,None,,10.6,12/1/2015,12/8/2015,"United States, Canada",ES_1030337_AKTW08CR61_12112015061954_4794819
2254739,Arctic King,AKTW10CR61,",AKTW10CR71E,",10000,Through the Wall,No,None,,10.6,12/1/2015,12/8/2015,"United States, Canada",ES_1030337_AKTW10CR61_12112015062007_4807765
2254741,Arctic King,AKTW10CR62,,10000,Through the Wall,No,None,,10.6,12/1/2015,12/8/2015,"United States, Canada",ES_1030337_AKTW10CR62_12112015062025_4825812
2254743,Arctic King,AKTW12CR61,",AKTW12CR71E,",12000,Through the Wall,No,None,,10.5,12/1/2015,12/8/2015,"United States, Canada",ES_1030337_AKTW12CR61_12112015062048_4848531
2254742,Arctic King,AKTW12CR62,,12000,Through the Wall,No,None,,10.5,12/1/2015,12/8/2015,"United States, Canada",ES_1030337_AKTW12CR62_12112015062102_4862002
2256680,Arctic King,AKW06CR61,,6000,Window,No,None,,12.1,12/3/2015,12/22/2015,United States,ES_1030337_AKW06CR61_12152015102246_1959802
2256962,Arctic King,AKW08CR61,,8000,Window,No,None,,12,12/3/2015,12/22/2015,United States,ES_1030337_AKW08CR61_12152015103059_6302148
2290128,Arctic King,AKW08CR71,",AKW08CR71E,",8000,Window,No,None,,12,2/6/2017,2/6/2017,"United States, Canada",ES_1138537_AKW08CR71_02072017071503_1703678
2256965,Arctic King,AKW10CR61,,10000,Window,No,None,,12,12/3/2015,12/22/2015,United States,ES_1030337_AKW10CR61_12152015104256_7851220
2290125,Arctic King,AKW10CR71,,10000,Window,No,None,,12,2/6/2017,2/6/2017,"United States, Canada",ES_1138537_AKW10CR71_02072017071514_1714954
2256967,Arctic King,AKW12CR61,,12000,Window,No,None,,12,12/3/2015,12/22/2015,United States,ES_1030337_AKW12CR61_12152015105304_3648492
2290124,Arctic King,AKW12CR71,,12000,Window,No,None,,12,2/6/2017,2/6/2017,"United States, Canada",ES_1138537_AKW12CR71_02072017071541_1741884
2256969,Arctic King,AKW15CR61,,15100,Window,No,None,,11.8,12/3/2015,12/22/2015,United States,ES_1030337_AKW15CR61_12152015110536_7748529
2290123,Arctic King,AKW15CR71,,15100,Window,No,None,,11.8,2/6/2017,2/6/2017,"United States, Canada",ES_1138537_AKW15CR71_02072017071554_1754638
2290122,Arctic King,AKW18CR72,,18000,Window,No,None,,11.8,2/6/2017,2/6/2017,"United States, Canada",ES_1138537_AKW18CR72_02072017071606_1766247
2255247,Arctic King,AKW25CR62,,25000,Window,No,None,,10.3,12/3/2015,12/22/2015,United States,ES_1030337_AKW25CR62_12152015112258_4698449
2293411,Arctic King,AKW25CR72E,,25000,Window,No,None,,10.3,3/31/2017,3/31/2017,"United States, Canada",ES_1030337_AKW25CR72E_03312017073152_5512898
2253145,Arctic King,MWEUK-08CRN1-BCL0,,8000,Window,No,None,,12,11/15/2015,11/20/2015,"United States, Canada",ES_1030337_MWEUK-08CRN1-BCL0_11202015233522_2522431
2253148,Arctic King,MWEUK-10CRN1-BCL0,,10000,Window,No,None,,12,11/15/2015,11/20/2015,"United States, Canada",ES_1030337_MWEUK-10CRN1-BCL0_11202015233559_2559567
2253151,Arctic King,MWEUK-12CRN1-BCL0,,12000,Window,No,None,,12,11/15/2015,11/20/2015,"United States, Canada",ES_1030337_MWEUK-12CRN1-BCL0_11202015233638_2598444
2253153,Arctic King,MWEUK-15CRN1-BCK8,,15100,Window,No,None,,11.8,11/15/2015,11/20/2015,"United States, Canada",ES_1030337_MWEUK-15CRN1-BCK8_11202015233726_2646507
2253154,Arctic King,MWEUW2-10CRN1-BCJ6,,10000,Through the Wall,No,None,,10.6,11/15/2015,11/20/2015,"United States, Canada",ES_1030337_MWEUW2-10CRN1-BCJ6_11202015233758_2678329
2282262,Arctic King,MWFUK-08CRN1-BCL0,,10000,Through the Wall,No,None,,12,10/25/2016,10/25/2016,"United States, Canada",ES_1030337_MWFUK-08CRN1-BCL0_10262016055710_1430934
2282263,Arctic King,WWK08CW71E,,10000,Through the Wall,No,None,,12,10/25/2016,10/25/2016,United States,ES_1030337_WWK08CW71E_10262016055638_1398185
2271030,Arctic Wind,AW10005E,,10000,Window,No,None,,12,6/25/2016,6/27/2016,"United States, Canada",ES_1137591_AW10005E_06282016070830_7710538
2271031,Arctic Wind,AW11505E,,12000,Window,No,None,,12,6/25/2016,6/27/2016,"United States, Canada",ES_1137591_AW11505E_06282016070848_7728276
2271024,Arctic Wind,AW6005E,,6000,Window,No,None,,12.1,6/25/2016,6/27/2016,"United States, Canada",ES_1137591_AW6005E_06282016070901_7741215
2271025,Arctic Wind,AW8005E,,8000,Window,No,None,,12,6/25/2016,6/27/2016,"United States, Canada",ES_1137591_AW8005E_06282016070914_7754957
2256960,Artic King,AKW18CR62,,18000,Window,No,None,,11.8,12/3/2015,12/3/2015,United States,ES_1030337_AKW18CR62_12152015111148_656854
2262622,Best Home,57H-ID0-05CRN1/BI7,,5000,Window,No,None,,12.1,3/15/2016,3/16/2016,"United States, Canada",ES_1127347_57H-ID0-05CRN1/BI7_03182016212104_6064723
2262624,Best Home,57H-ID0-10CRN1/BJ8,,10000,Window,No,None,,12,3/15/2016,3/16/2016,"United States, Canada",ES_1127347_57H-ID0-10CRN1/BJ8_03182016212155_6115147
2262626,Best Home,57H-ID0-12CRN1/BJ8,,12000,Window,No,None,,12,3/15/2016,3/16/2016,"United States, Canada",ES_1127347_57H-ID0-12CRN1/BJ8_03182016212237_6157530
2294270,BLACK DECKER,BWAC06WT,,6000,Window,No,None,,12.1,4/12/2017,4/12/2017,United States,ES_1126481_BWAC06WT_04132017080947_0987398
2294271,BLACK DECKER,BWAC08WT,,8000,Window,No,None,,12,4/12/2017,4/12/2017,United States,ES_1126481_BWAC08WT_04132017080959_0999674
2294272,BLACK DECKER,BWAC10WT,,10000,Window,No,None,,12,4/12/2017,4/12/2017,United States,ES_1126481_BWAC10WT_04132017081011_1011161
